lng|lat|link_id|foreign_id|upstream_area|description
-95.725100|43.186000|455582|06600030|9|Little Floyd River near Sanborn (06600030)
-91.508752|43.421084|504104|05388250|769|Upper Iowa River near Dorchester (DCHI4-05388250)
-93.673056|42.071111|292239|CSRI4|174|Ioway Creek at Ames Cameron School Rd at Ames (CSRI4)
-93.060000|42.412317|438053|STBI4|740|Iowa River at Steamboat Rock (STBI4)
-91.785180|42.069163|367769|05464420|6323|Cedar River at Blairs Ferry Rd at Palo (PLOI4-05464420)
-94.705833|43.126111|555741|05476590|1669|Des Moines River at Emmetsburg (EMTI4-05476590)
-92.907700|42.065821|317905|05451500|1534|Iowa River at Marshalltown (MIWI4-05451500)
-92.023792|42.170828|367697|05464315|6022|Cedar River at Vinton (VINI4-05464315)
-90.653056|42.499444|2000000035|DBQI4|0|Mississippi River at Dubuque (DBQI4)
-93.268800|43.148600|444657|05460100|80|Willow Creek near Mason City (05460100)
-90.959440|41.106110|2000000012|KHBI2|0|Mississippi River at Keithsburg (KHBI2)
-91.667124|41.971945|367813|05464500|6492|Cedar River at Cedar Rapids (CIDI4-05464500)
-92.474355|41.899439|255051|05451900|57|Richland Creek near Haven (05451900)
-96.632551|42.761737||bsrs2||Big Sioux River at Richland (BSRS2)
-93.587439|41.424158|179425|05486490|499|Middle River near Indianola (IDNI4-05486490)
-97.146186|44.942464||06479500||Big Sioux River at Watertown (06479500)
-93.246594|41.681378|272783|05471050|813|South Skunk River at Colfax (CFXI4-05471050)
-91.033330|41.416670|2000000016|MUSI4|0|Mississippi River at Muscatine (MUSI4)
-90.455132|41.551144|209558|05422470|19|Crow Creek at Bettendorf (05422470)
-91.313750|41.787222|367916|05464780|7055|Cedar River at Cedar Bluff (05464780)
-93.654969|41.457907|178416|05486000|350|North River near Norwalk (NRWI4-05486000)
-90.893610|41.437780|20000000185|FAII4|0|Mississippi River near Fairport (FAII4)
-95.782786|41.642490|273761|06609500|859|Boyer River at Logan (LGNI4-06609500)
-95.645000|40.601667|157543|06810000|2822|Nishnabotna River above Hamburg (HMBI4-06810000)
-96.311416|42.576660|397674|06600500|889|Floyd River at James (JMEI4-06600500)
-90.728246|42.164405|314529|05418400|503|North Fork Maquoketa River near Fulton (05418400)
-93.753056|42.166389|307867|ESQI4|92|Ioway Creek at Hwy E18 at Ames (ESQI4)
-97.160908|44.948853||06479452||Big Sioux River at Lake Kampeska near Watertown (06479452)
-95.093000|41.080000|126099|06811800|5|East Tarkio Creek near Stanton (06811800)
-95.868333|41.015556|1000000004|06805600|0|Missouri River at Plattsmouth (PTMN1)
-91.505000|43.451111|505703|05388310|43|Waterloo Creek near Dorchester (05388310)
-91.012780|41.425539|2000000018|ILNI2|0|Mississippi River at Illinois City (ILNI2)
-91.989400|41.526300|197201|NEPI4|299|North Fork English River near Parnell (NEPI4)
-90.534859|41.766974|426239|05422000|2287|Wapsipinicon River near De Witt (DEWI4-05422000)
